END,endtime,ELAPSEDTIME,,hour
4/22/16 00:00,09:47:27,197,,9
4/23/16 00:00,08:16:01,105,,8
4/24/16 00:00,07:10:56,40,,7
4/25/16 00:00,10:20:58,230,,10
4/26/16 00:00,10:13:49,211,,10
4/27/16 00:00,09:34:58,104,,9
4/28/16 00:00,08:12:50,102,,8
4/29/16 00:00,07:46:24,76,,7
4/30/16 00:00,12:40:06,153,,12
5/1/16 00:00,09:04:32,154,,9
5/2/16 00:00,10:01:37,211,,10
5/3/16 00:00,09:47:06,196,,9
5/4/16 00:00,10:16:28,226,,10
5/5/16 00:00,09:58:40,193,,9
5/6/16 00:00,08:23:24,113,,8
5/7/16 00:00,07:28:04,57,,7
5/8/16 00:00,09:36:00,173,,9
5/9/16 00:00,09:55:21,205,,9
5/10/16 00:00,09:35:35,185,,9
5/11/16 00:00,09:06:52,156,,9
5/12/16 00:00,09:12:52,162,,9
5/13/16 00:00,08:43:04,132,,8
5/14/16 00:00,07:43:35,73,,7
5/15/16 00:00,07:02:18,32,,7
5/16/16 00:00,09:05:24,155,,9
5/17/16 00:00,08:01:39,91,,8
5/18/16 00:00,09:36:18,32,,9
5/19/16 00:00,10:24:01,27,,10
5/20/16 00:00,09:33:03,21,,9
5/21/16 00:00,23:35:34,14,,23
5/22/16 00:00,09:27:59,6,,9
5/23/16 00:00,14:55:12,505,,14
5/24/16 00:00,12:50:23,222,,12
5/25/16 00:00,10:21:41,221,,10
5/26/16 00:00,09:57:10,207,,9
5/27/16 00:00,08:48:24,138,,8
5/28/16 00:00,07:45:09,14,,7
5/29/16 00:00,08:53:04,65,,8
5/30/16 00:00,09:31:25,181,,9
5/31/16 00:00,08:43:23,133,,8
6/1/16 00:00,10:57:13,219,,10
6/2/16 00:00,09:35:37,185,,9
6/3/16 00:00,08:24:47,114,,8
6/4/16 00:00,06:48:22,18,,6
6/5/16 00:00,06:55:25,25,,6
6/6/16 00:00,10:12:55,205,,10
6/7/16 00:00,11:07:53,222,,11
6/8/16 00:00,07:58:03,87,,7
6/9/16 00:00,08:04:45,94,,8
6/10/16 00:00,08:31:22,121,,8
6/11/16 00:00,06:57:09,27,,6
6/12/16 00:00,06:45:32,15,,6
6/13/16 00:00,08:11:18,100,,8
6/14/16 00:00,07:10:14,40,,7
6/15/16 00:00,09:18:56,168,,9
6/16/16 00:00,07:18:17,48,,7
6/17/16 00:00,08:27:34,117,,8
6/18/16 00:00,06:58:17,28,,6
6/19/16 00:00,06:55:38,25,,6
6/20/16 00:00,08:38:48,128,,8
6/21/16 00:00,11:49:44,39,,11
6/22/16 00:00,07:33:53,63,,7
6/23/16 00:00,07:13:11,43,,7
6/24/16 00:00,07:08:51,38,,7
6/25/16 00:00,06:46:35,16,,6
6/26/16 00:00,06:51:25,21,,6
6/27/16 00:00,08:56:22,145,,8
6/28/16 00:00,10:17:39,60,,10
6/29/16 00:00,08:05:55,95,,8
6/30/16 00:00,08:07:22,97,,8
7/1/16 00:00,11:14:50,70,,11
7/2/16 00:00,07:04:42,34,,7
7/3/16 00:00,06:59:29,28,,6
7/4/16 00:00,08:56:18,145,,8
7/5/16 00:00,09:23:38,98,,9
7/6/16 00:00,07:24:02,52,,7
7/7/16 00:00,08:40:37,126,,8
7/8/16 00:00,06:52:01,21,,6
7/9/16 00:00,06:48:32,18,,6
7/10/16 00:00,07:41:56,71,,7
7/11/16 00:00,08:26:03,115,,8
7/12/16 00:00,08:06:12,96,,8
7/13/16 00:00,08:20:08,110,,8
7/14/16 00:00,08:58:47,148,,8
7/15/16 00:00,07:47:59,77,,7
7/16/16 00:00,08:08:08,53,,8
7/17/16 00:00,07:26:26,56,,7
7/18/16 00:00,09:02:30,152,,9
7/19/16 00:00,08:49:39,139,,8
7/20/16 00:00,09:25:24,142,,9
7/21/16 00:00,08:48:12,138,,8
7/22/16 00:00,07:33:33,63,,7
7/23/16 00:00,14:10:26,39,,14
7/24/16 00:00,07:40:02,16,,7
7/25/16 00:00,08:35:39,125,,8
7/26/16 00:00,07:39:58,69,,7
7/27/16 00:00,08:04:17,94,,8
7/28/16 00:00,08:00:53,90,,8
7/29/16 00:00,06:58:34,28,,6
7/30/16 00:00,16:53:00,83,,16
7/31/16 00:00,07:59:15,89,,7
8/1/16 00:00,10:05:00,214,,10
8/2/16 00:00,09:10:33,160,,9
8/3/16 00:00,07:49:17,79,,7
8/4/16 00:00,07:16:14,46,,7
8/5/16 00:00,06:59:39,29,,6
8/6/16 00:00,06:53:58,23,,6
8/7/16 00:00,07:18:05,47,,7
8/8/16 00:00,09:28:17,178,,9
8/9/16 00:00,08:45:11,135,,8
8/10/16 00:00,08:12:13,102,,8
8/11/16 00:00,07:53:19,83,,7
8/12/16 00:00,07:38:54,68,,7
8/13/16 00:00,06:47:57,17,,6
8/14/16 00:00,07:19:39,49,,7
8/15/16 00:00,07:13:58,43,,7
8/16/16 00:00,08:50:31,140,,8
8/17/16 00:00,08:11:42,101,,8
8/18/16 00:00,07:45:42,75,,7
8/19/16 00:00,07:39:39,69,,7
8/20/16 00:00,07:23:04,52,,7
8/21/16 00:00,08:20:26,110,,8
8/22/16 00:00,08:35:53,125,,8
8/23/16 00:00,07:40:01,99,,7
8/25/16 00:00,17:51:37,40,,17
8/26/16 00:00,08:24:45,8,,8
8/27/16 00:00,06:45:09,15,,6
8/28/16 00:00,06:45:22,15,,6
8/29/16 00:00,09:45:26,195,,9
8/30/16 00:00,09:15:48,165,,9
8/31/16 00:00,09:39:26,189,,9
9/1/16 00:00,07:47:01,76,,7
9/2/16 00:00,09:17:09,167,,9
9/3/16 00:00,06:39:30,9,,6
9/4/16 00:00,06:51:14,21,,6
9/5/16 00:00,06:53:48,23,,6
9/6/16 00:00,07:33:12,63,,7
9/7/16 00:00,08:55:45,145,,8
9/8/16 00:00,08:53:59,143,,8
9/9/16 00:00,09:35:02,99,,9
9/10/16 00:00,13:09:52,27,,13
9/11/16 00:00,21:00:26,8,,21
9/12/16 00:00,18:41:03,117,,18
9/13/16 00:00,11:42:43,48,,11
